NavCustomerName,NavCustomerId,Description,BillingCycle,UnitAmount,NavPrice,UnitPrice
"Kiming ApS","32353924","Hosted CANEA ONE setup plus diverse","Monthly","1450,00","4,00","2,32"
"Kiming ApS","32353924","Hosted CANEA ONE setup plus diverse","Monthly","8,00","195,00","121,80"
"Kiming ApS","32353924","Hosted CANEA ONE setup plus diverse","Monthly","16,00","195,00","105,00"
"Kiming ApS","32353924","Hosted CANEA ONE setup plus diverse","Monthly","1,00","120,00","11,60"
"Kiming ApS","32353924","Hosted CANEA ONE setup plus diverse","Monthly","1,00","500,00","580,00"
"Kiming ApS","32353924","Hosted CANEA ONE setup plus diverse","Monthly","2,00","200,00","116,00"
"Kiming ApS","32353924","Hosted CANEA ONE setup plus diverse","Monthly","3,00","500,00","290,00"
"Kiming ApS","32353924","Hosted CANEA ONE setup plus diverse","Monthly","3,00","500,00","290,00"
"Kiming ApS","32353924","Hosted CANEA ONE setup plus diverse","Monthly","3,00","100,00","116,00"
"Kiming ApS","32353924","Hosted CANEA ONE setup plus diverse","Monthly","3,00","200,00","122,00"
"Kiming ApS","32353924","Hosted CANEA ONE setup plus diverse","Monthly","1,00","495,00","240,00"
"Kiming ApS","32353924","Hosted CANEA ONE setup plus diverse","Monthly","2,00","1000,00","1500,00"
"Prime Assurance A/S","35513930","NAVISION","Monthly","1,00","649,00","752,00"
"Mamema Holding Aps","30829115","DNS","Annually","1,00","120,00","0,00"
"Hansen Lellinge A/S","24259684","SaaS - ERP-dritf","Monthly","11,00","399,00","462,84"
"Hansen Lellinge A/S","24259684","SaaS - ERP-dritf","Monthly","3,00","80,00","92,80"
"Hansen Lellinge A/S","24259684","SaaS - ERP-dritf","Monthly","1,00","249,00","288,00"
"Hansen Lellinge A/S","24259684","SaaS - ERP-dritf","Monthly","1,00","249,00","1274,00"
"Acis Consulting Aps","21211788","DNS","Annually","1,00","120,00","12,00"
"Acis Consulting Aps","21211788","DNS","Annually","1,00","120,00","12,00"
"Acis Consulting Aps","21211788","DNS","Annually","1,00","240,00","24,00"
"Langvad A/S","77213813","Acronis  - DNS - Spamfilter","Monthly","1,00","120,00","11,60"
"Langvad A/S","77213813","Acronis  - DNS - Spamfilter","Monthly","1,00","195,00","226,00"
"Langvad A/S","77213813","Acronis  - DNS - Spamfilter","Monthly","3,00","30,00","30,00"
"AVS Danmark A/S","79293210","Acronis Cyber Protect + unify cloud control, DNS","Monthly","1,00","0,00","50,00"
"AVS Danmark A/S","79293210","Acronis Cyber Protect + unify cloud control, DNS","Monthly","20,00","0,00","25,00"
"AVS Danmark A/S","79293210","Acronis Cyber Protect + unify cloud control, DNS","Monthly","6,00","0,00","11,60"
"AVS Danmark A/S","79293210","Acronis Cyber Protect + unify cloud control, DNS","Monthly","22,00","0,00","30,00"
"AVS Danmark A/S","79293210","Acronis Cyber Protect + unify cloud control, DNS","Monthly","2,00","0,00","50,00"
"AVS Danmark A/S","79293210","Acronis Cyber Protect + unify cloud control, DNS","Monthly","2,00","79,00","91,00"
"Paludan & Ramsager Arkitektfir","28853327","DNS - Spamfilter","Annually","1,00","120,00","116,00"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","1,00","120,00","23,00"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","1,00","249,00","288,80"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","1,00","195,00","226,20"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","36,00","10,00","10,60"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","43,00","30,00","30,00"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","1,00","0,00","2018,25"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","1,00","0,00","7886,80"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","42,00","10,00","10,00"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","1,00","0,00","1154,20"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","4,00","0,00","113,00"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","1,00","0,00","1746,00"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","5,00","79,00","0,00"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","4,00","79,00","0,00"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","1,00","249,00","288,80"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","1,00","195,00","226,20"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","6,00","195,00","113,00"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","4,00","195,00","113,00"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","260,00","4,00","2,32"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","1,00","200,00","116,00"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","1,00","200,00","116,00"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","1,00","100,00","116,00"
"Bendix Transport Danmark A/S","18236133","DNS, Lagerhotel, Unify Cloud Control, Spamexperts","Monthly","1,00","500,00","1160,00"
"Megafon A/S","41321431","F-Secure","Monthly","5,00","0,00","50,00"
"SM-Data","20820381","Hosting af byggeweb CCC","Annually","1,00","249,00","145,00"
"Readynez A/S","31746833","Teams Voice og Telefoni","Monthly","16,00","49,00","49,00"
"Readynez A/S","31746833","Teams Voice og Telefoni","Monthly","17,00","6,00","6,00"
"Readynez A/S","31746833","Teams Voice og Telefoni","Monthly","20,00","25,00","25,00"
"Readynez A/S","31746833","Teams Voice og Telefoni","Monthly","1,00","95,00","95,00"
"Readynez A/S","31746833","Teams Voice og Telefoni","Monthly","1,00","995,00","995,00"
"Readynez A/S","31746833","Teams Voice og Telefoni","Monthly","1,00","60,00","60,00"
"Readynez A/S","31746833","Teams Voice og Telefoni","Monthly","3,00","60,00","60,00"
"Readynez A/S","31746833","Teams Voice og Telefoni","Monthly","2,00","250,00","250,00"
"Styrbord Halse","90909090","DNS og web","Biannually","1,00","249,00","0,00"
"Styrbord Halse","90909090","DNS og web","Biannually","1,00","240,00","0,00"
"Styrbord Halse","90909090","DNS og web","Biannually","2,00","0,00","0,00"
"Betterways","25526856","DNS + certifikat - procesleder.dk og Betterways.dk","Annually","2,00","120,00","139,00"
"Tresor Property A/S","33377436","DNS-service","Annually","2,00","240,00","278,40"
"Tresor Property A/S","33377436","DNS-service","Annually","1,00","120,00","139,00"
"Tresor Property A/S","33377436","DNS-service","Annually","1,00","120,00","139,00"
"Tresor Property A/S","33377436","DNS-service","Annually","1,00","120,00","139,00"
"Scorpion & SOS ManPower ApS","37113867","Web","Monthly","1,00","249,00","56,80"
"Scorpion & SOS ManPower ApS","37113867","Web","Monthly","2,00","120,00","104,40"
"Kystvejen 42 ApS","33766572","C5 - abb.","Monthly","2,00","199,00","172,80"
"Hitachi Rail STS; filial af Hitachi Rail STS S.p.A","38523082","C5 + web/DNS","Annually","1,00","399,00","462,80"
"Hitachi Rail STS; filial af Hitachi Rail STS S.p.A","38523082","C5 + web/DNS","Annually","1,00","80,00","92,80"
"Hitachi Rail STS; filial af Hitachi Rail STS S.p.A","38523082","C5 + web/DNS","Annually","1,00","99,00","116,00"
"Ingemann & Partnere ApS","31878756","Webhotel - Exchange","Annually","1,00","240,00","278,40"
"Ingemann & Partnere ApS","31878756","Webhotel - Exchange","Annually","1,00","249,00","56,80"
"Evonate ApS","32651712","Webhotel - Exchange","Annually","1,00","149,00","45,20"
"Evonate ApS","32651712","Webhotel - Exchange","Annually","0,00","0,00","0,00"
"Evonate ApS","32651712","Webhotel - Exchange","Annually","0,00","0,00","0,00"
"make:net a/s","10047560","DNS - Webhotel","Annually","1,00","120,00","139,20"
"make:net a/s","10047560","DNS - Webhotel","Annually","1,00","249,00","172,80"
"AVS Danmark A/S","79293210","Domæne","Annually","2,00","240,00","278,40"
"AVS Danmark A/S","79293210","Domæne","Annually","1,00","240,00","1160,00"
"WOHLERT Arkitekterne A/S","26928877","DNS","Annually","1,00","120,00","139,20"
"SBC Solutions","29270015","DNS - Domæner","Annually","5,00","120,00","34,80"
"SBC Solutions","29270015","DNS - Domæner","Annually","2,00","240,00","69,60"
"Adapter Aps","31590639","DNS","Annually","1,00","120,00","11,60"
"Adapter Aps","31590639","DNS","Annually","1,00","240,00","69,60"
"RIP Bogføring","52718252","C5","Annually","1,00","199,00","172,80"
"Guldborgsund Kommune","29188599","Hello Enterprise SA","Annually","1,00","0,00","7500,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","5,00","120,00","11,60"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","30,00","0,00","29,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","2,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","4,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","600,00","8,00","2,32"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","1,00","500,00","696,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","1,00","200,00","116,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","7,00","200,00","116,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","7,00","100,00","116,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","7,00","0,00","58,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","4,00","0,00","187,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","41,00","0,00","30,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","4,00","2340,00","1342,30"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","2,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","1,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","80,00","4,00","2,32"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","8,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","32,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","450,00","4,00","2,32"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","2,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","24,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","450,00","4,00","2,32"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","4,00","2340,00","1342,30"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","4,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","8,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","200,00","4,00","2,32"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","4,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","8,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","200,00","4,00","2,32"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","4,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","8,00","195,00","110,20"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Infrastruktur og serverdrift","Monthly","1226,00","4,00","2,32"
"BP & CoHolding","55446016","DNS","Annually","1,00","120,00","139,20"
"Projectum","27583598","DNS","Annually","2,00","120,00","34,80"
"Nya Sturup Raceway AB","15154000","Webhotel - DNS","Annually","2,00","120,00","11,60"
"Nya Sturup Raceway AB","15154000","Webhotel - DNS","Annually","1,00","240,00","69,60"
"siam-wellness & design i/s","40679979","DNS - Faksemosegård.dk","Annually","1,00","120,00","139,20"
"Rev. Carsten Øhauge A/S","16839736","DNS","Annually","1,00","120,00","139,20"
"Noah Projects & Logistics A/S","31884098","Hosted server","Monthly","1,00","0,00","3038,00"
"Birte Wildfang","10000001","Domæne + DNS for wildfang.as","Annually","1,00","120,00","1392,00"
"Birte Wildfang","10000001","Domæne + DNS for wildfang.as","Annually","1,00","240,00","1158,84"
"Langvad A/S","77213813","Certifikat","Annually","1,00","120,00","139,20"
"CPH EL ApS","40678255","WEB, DNS og Domæne","Monthly","2,00","120,00","11,60"
"CPH EL ApS","40678255","WEB, DNS og Domæne","Monthly","1,00","249,00","346,84"
"CPH EL ApS","40678255","WEB, DNS og Domæne","Monthly","1,00","240,00","69,60"
"Copenhagen Mist ApS","38399217","Teams Telefoni","Monthly","4,00","29,00","29,00"
"Copenhagen Mist ApS","38399217","Teams Telefoni","Monthly","5,00","25,00","25,00"
"Copenhagen Mist ApS","38399217","Teams Telefoni","Monthly","15,00","6,00","6,00"
"Copenhagen Mist ApS","38399217","Teams Telefoni","Monthly","1,00","0,00","25,00"
"Copenhagen Mist ApS","38399217","Teams Telefoni","Monthly","2,00","25,00","30,00"
"Copenhagen Mist ApS","38399217","Teams Telefoni","Monthly","1,00","500,00","30,00"
"Hoimes Advisory","352 621 555 178","DNS","Annually","1,00","240,00","464,00"
"make:net a/s","10047560","Domæne Conmatics (.dk/.com)","Annually","1,00","120,00","139,20"
"make:net a/s","10047560","Domæne Conmatics (.dk/.com)","Annually","1,00","120,00","255,20"
"make:net a/s","10047560","Domæne Blueconnect.dk","Annually","1,00","120,00","139,20"
"Kiltin A/S","15000848","Kiltin - Acronis VM Backup + Unify Cloud Control","Monthly","26,00","0,00","30,00"
"Kiltin A/S","15000848","Kiltin - Acronis VM Backup + Unify Cloud Control","Monthly","4,00","0,00","91,60"
"Kiltin A/S","15000848","Kiltin - Acronis VM Backup + Unify Cloud Control","Monthly","1,00","0,00","500,00"
"Kiltin A/S","15000848","Kiltin - Acronis VM Backup + Unify Cloud Control","Monthly","1,00","0,00","250,00"
"Kiltin A/S","15000848","Kiltin - Acronis VM Backup + Unify Cloud Control","Monthly","1,00","0,00","200,00"
"Kiltin A/S","15000848","Kiltin - Acronis VM Backup + Unify Cloud Control","Monthly","1,00","0,00","0,00"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","210,00","6,00","6,00"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","1,00","0,00","516,88"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","1,00","579,00","579,00"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","2,00","149,00","149,00"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","1,00","130,00","100,00"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","1,00","49,00","49,00"
"NORDIC BIOSCIENCE A/S","30799968","Teams Voice","Monthly","47,00","29,00","29,00"
"make:net a/s","10047560","SSL Certifikat Makenet","Annually","1,00","1500,00","1500,00"
"BLS CAPITAL FONDSMÆGLERSELSKAB A/S","31179580","Managed Unify solution","Monthly","4,00","79,00","91,64"
